TPR,PPID,Station,Date
RLC_SH,CN0Y0MPWCMK00919A006,QC2,2020-11-26
RLC_SH,CN0Y47D5129638A6002C,QC2,2020-11-26
RLC_SH,CN0Y47D5129638A604F3,QC2,2020-11-26
RLC_SH,CN0Y6N4N1296391D019F,QC2,2020-11-26
RLC_SH,CN0Y9HCWCMK00052A060,QC2,2020-11-26
RLC_SH,CN0Y9HCWCMK00052A067,QC2,2020-11-26
RLC_SH,CN0YFP8K1296396C0014,QC2,2020-11-26
RLC_SH,CN0YFP8K1296396K028F,QC2,2020-11-26
RLC_SH,CN0YJNVFCMK0088N02D9,QC2,2020-11-26
RLC_SH,CN00D2RY129638B50910,QC3,2020-11-26
RLC_SH,CN00D2RYCMK008AIA004,QC3,2020-11-26
RLC_SH,CN010CGG129637B50459,QC3,2020-11-26
RLC_SH,CN010CGG129637BJ0674,QC3,2020-11-26
RLC_SH,CN010CGG129637BN0949,QC3,2020-11-26
RLC_SH,CN010N98CMK008AUA007,QC3,2020-11-26
RLC_SH,CN011RTT1296388P06AB,QC3,2020-11-26
RLC_SH,CN011RTT129638CG0A63,QC3,2020-11-26
RLC_SH,CN011RTT1296391D0846,QC3,2020-11-26
RLC_SH,CN017JKTCMK007CO0044,QC3,2020-11-26
RLC_SH,CN017JKTCMK008A9A015,QC3,2020-11-26
RLC_SH,CN01KWXCCMK008BO016C,QC3,2020-11-26
RLC_SH,CN01M78K129630130AF4,QC3,2020-11-26
RLC_SH,CN01M78K1296304J1645,QC3,2020-11-26
RLC_SH,CN01MXPYCMK000A8A3B1,QC3,2020-11-26
RLC_SH,CN0233YN1296304911C5,QC3,2020-11-26
RLC_SH,CN0233YN1296304E0AB8,QC3,2020-11-26
RLC_SH,CN026KGVCMK008140216,QC3,2020-11-26
RLC_SH,CN02XPCXCMK0088Q0071,QC3,2020-11-26
RLC_SH,CN035V4WCMK00948A00E,QC3,2020-11-26
RLC_SH,CN03MK2NCMK0088I122B,QC3,2020-11-26
RLC_SH,CN03PRMDCMK0006O0004,QC3,2020-11-26
RLC_SH,CN03PRMDCMK0006O00A6,QC3,2020-11-26
RLC_SH,CN03YC671296388U018D,QC3,2020-11-26
RLC_SH,CN04FN471296384P083D,QC3,2020-11-26
RLC_SH,CN04WNH01296387B0169,QC3,2020-11-26
RLC_SH,CN04WNH0129638BM000E,QC3,2020-11-26
RLC_SH,CN04WNH012963923028D,QC3,2020-11-26
RLC_SH,CN04WNH0CMK0087EA37D,QC3,2020-11-26
RLC_SH,CN04WNH0CMK0097OA014,QC3,2020-11-26
RLC_SH,CN05913Y1296385G0706,QC3,2020-11-26
RLC_SH,CN05M4CJ129638830102,QC3,2020-11-26
RLC_SH,CN062F8P129639390444,QC3,2020-11-26
RLC_SH,CN06CTF8CMK00091A002,QC3,2020-11-26
RLC_SH,CN06NNXD129639B702E3,QC3,2020-11-26
RLC_SH,CN06XRV6129638BN041C,QC3,2020-11-26
RLC_SH,CN06XRV61296394C000F,QC3,2020-11-26
RLC_SH,CN07714X129639B200DD,QC3,2020-11-26
RLC_SH,CN07MP651296304M0115,QC3,2020-11-26
RLC_SH,CN084GNT129638660823,QC3,2020-11-26
RLC_SH,CN084GNT1296386I0219,QC3,2020-11-26
RLC_SH,CN0858KT1296388C07CC,QC3,2020-11-26
RLC_SH,CN0858KT1296388L00A1,QC3,2020-11-26
RLC_SH,CN0858KT129638AJ043A,QC3,2020-11-26
RLC_SH,CN0858KTCMK0089B06D9,QC3,2020-11-26
RLC_SH,CN0870WT1296386L0354,QC3,2020-11-26
RLC_SH,CN0870WT1296386P01C2,QC3,2020-11-26
RLC_SH,CN093WF9CMK009130399,QC3,2020-11-26
RLC_SH,CN097VY7CMK0082N01B9,QC3,2020-11-26
RLC_SH,CN0987G812963917043B,QC3,2020-11-26
RLC_SH,CN09TJV5129636CRA00E,QC3,2020-11-26
RLC_SH,CN09VWF8CMK00065A021,QC3,2020-11-26
RLC_SH,CN0C4N0X129638860030,QC3,2020-11-26
RLC_SH,CN0C4VVY129638BT0007,QC3,2020-11-26
RLC_SH,CN0C9JPK129637BS08B2,QC3,2020-11-26
RLC_SH,CN0C9JPK12963859017A,QC3,2020-11-26
RLC_SH,CN0C9JPKCMK0087DA008,QC3,2020-11-26
RLC_SH,CN0CCPYN1296394705A4,QC3,2020-11-26
RLC_SH,CN0CCPYN1296395P01FF,QC3,2020-11-26
RLC_SH,CN0CJ0VT1296386O00E7,QC3,2020-11-26
