
25XV7,AAU30,"Celtic 13",1.8,1.16.4,A12,DTP,A01,UMA,6Y75,"\","2019-06-19 17:55:28"
26KGV,CDM70,"Breckenridge 14U(Commercial)",1.5,1.16.0,A05,TPM,"A00
",UMA,SI5-6200U,"\","2019-09-24 14:03:45"
270C8,CAZ20,"Steamboat 14",1.7,1.15.1,A07,TPM,null,UMA,I7-6650V,,"2019-09-30 05:47:57"
2723N,DDM60,"Breckenridge 12 MLK",1.0,1.10.1,,TPM,,UMA,I3-8130,,"2019-08-21 09:41:32"
2766V,DAZ40,"Steamboat 14 MLK",1.0,1.11.0,,TPM,,UMA,KI7-8650U,,"2019-09-12 10:17:40"
2790Y,QAL70,"Dalmore-13
(commercial)",2.4,A06,A06,TPM,"\","\","\","\",2016/6/2
27X4H,DAJ00,"Pebble Creek MLK(Commercial)",1.0,1.8.0,,DTP,,MLK,I5V,,"2019-08-23 05:47:39"
282V5,CDM70,"Breckenridge 14U",1.5,1.16.0,A05,DTP,"A00
",UMA,SI5-6200U,"\","2019-09-24 14:03:45"
28P95,CAZ10,"Steamboat 12",1.7,1.15.1,A07,TPM,null,UMA,I5-73,,"2019-09-30 05:47:57"
29H1V,DDM60,"Breckenridge 12 MLK",1.0,1.10.1,,TPM,,UMA,I5-8250,,"2019-08-21 09:41:32"
2CCX5,DDM60,"Breckenridge 12 MLK",1.0,1.10.1,,TPM,,UMA,I5-7300,,"2019-08-21 09:41:32"
2CFNG,ADM70,"Park City 14",2.1,1.21.6,A16,DTP,A04,DSC,I5-6200U,"\","2019-11-29 14:35:07"
2D45F,DAP10,"Whitehaven 15",1.1,1.9.0,,DTP,,Assy,I5-8300H,,"2019-08-23 05:44:17"
2D68W,DAZ20,"Steamboat 12 MLK",1.0,1.11.0,,TPM,,UMA,I7-8650U,,"2019-09-12 10:17:40"
2DJ9R,VAW50,"Alpine 15 (Commercial)   ",1.7,A18,A11,TPM,A00,UMA,I3-4010,"\",2017/8/29
2FF42,AAU30,"Celtic 13",1.8,1.16.4,A12,DTP,A01,UMA,6Y30,"\","2019-06-19 17:55:28"
2G2TC,DDM80,"Breckenridge 15 MLK",1.0,1.10.1,,TPM,,UMA,I5-7200U,,"2019-08-21 09:41:32"
2HKT8,CAZ10,"Steamboat 12",1.7,1.15.1,A07,DTP,null,UMA,I5,,"2019-09-30 05:47:57"
2HT8M,CDP81,"Breckenriger 15P",1.5,1.16.0,A05,DTP,A00,"\",KI5-7300H,"\","2019-09-24 14:11:17"
2KVD5,VAR00,Mariner(consumer),2.1,A20,A16,,"\","\","\","\",2017/9/27
2M2T3,DDP70,"Breckenridge 14H MLK",1.0,1.9.0,,DTP,,DIS,VI5-8400H,,"2019-08-21 09:43:33"
2MC2Y,DDM70,"Breckenridge 14 MLK",1.0,1.10.1,,DTP,,DSC,VI5-8350U,,"2019-08-21 09:41:32"
2MH64,CAP10,"Crane 17",1.2,1.13.0,A01,DTP,A00,"\",I7-7920,"\","2019-01-21 17:14:34"
2MMKG,ADP70,"Park City 14""-H",2.1,1.21.6,A16,TPM,A05,UMA,I5-6300HQ,"\","2019-11-29 14:54:25"
2N9PD,DDM80,"Breckenridge 15 MLK",1.0,1.10.1,,TPM,,UMA,I5-8350UV,,"2019-08-21 09:41:32"
2NRRM,DAP10,"Whitehaven 15",1.1,1.9.0,,DTP,,Assy,I5-8400H,,"2019-08-23 05:44:17"
2PFKW,AAPB0,"Miramar 17",2.1,1.16.3,A17,DTP,A00,DSC,E3-1535MV5,"\","2019-02-26 17:40:11"
2PK0W,DDA30,"KW 13 MLK",1.0,1.10.0,null,TPM,null,UMA,I7-8650U,,"2019-06-05 14:43:13"
2PR7R,QAR00,"VANS 15(commercial)",1.9,A10,A10,TPM,"\","\","\","\",2016/6/2
2PVP8,ZBZ00,"Goliad MLK 12 (E6)",1.9,21.1.1,A13,TPM,A06,UMA,I3-5010U,DOCK,"2019-12-10 08:57:43"
2PXJY,VAW50,"Alpine 15 (Commercial)   ",1.7,A18,A11,TPM,A00,DSC,I5-4310,"\",2017/8/29
2R1TC,AAZ60,"Beaver Creek 14",2.2,1.20.3,A07,DTP,A05,UMA,I3-6100U,"\","2019-04-19 19:38:15"
2TRDX,CDM80,"Breckenridge 15U",1.5,1.16.0,A05,DTP,A00,UMA,KI5-7300UV,"\","2019-09-24 14:03:45"
2V2HC,QAL81,"Dalmore- 14
(commercial)",1.6,A16,A16,TPM,"\",DIS,"\","\",2016/6/2
2V614,ZBU10,"Goliad MLK 14(UMA/DSC) (E6)",1.9,A16,A13,DTP,A06,UMA,I5-5200U,DOCK,2017/8/15
2VH13,CDP81,"Breckenriger 15P",1.5,1.16.0,A05,DTP,A00,"\",KI7-7700H,"\","2019-09-24 14:11:17"
2WC92,CDP81,"Breckenriger 15P",1.5,1.16.0,A05,TPM,A00-A01,UMA,I5-6300,,"2019-09-24 14:11:17"
2WCVJ,DDA30,"KW 13 MLK",1.0,1.10.0,,TPM,,UMA,I7-8650,,"2019-06-05 14:43:13"
2WT4R,DAP10,"Whitehaven 15",1.1,1.9.0,,TPM,,Assy,I5-8400H,,"2019-08-23 05:44:17"
2WXD6,CDP70,"Breckenridge 14H",1.5,1.16.0,A05,TPM,A02,UMA,KVI5-7440H,"\","2019-09-24 14:11:17"
2X71H,DDM60,"Breckenridge 12 MLK",1.0,1.10.1,null,TPM,null,UMA,"I5-7300 VPRO","\","2019-08-21 09:41:32"
2XPCX,DAZ40,"Steamboat 14 MLK",1.0,1.11.0,,TPM,,UMA,KI7-8650U,,"2019-09-12 10:17:40"
